CustomerID,Recency,Frequency,Monetary,Cluster,CustomerSegment
12346.0,165,11,372.86,3,Potential Loyalist
12347.0,3,2,1323.32,1,New / Occasional
12348.0,74,1,222.16,2,At-Risk / Lost
12349.0,43,3,2671.14,3,Potential Loyalist
12351.0,11,1,300.93,1,New / Occasional
12352.0,11,2,343.8,1,New / Occasional
12353.0,44,1,317.76,1,New / Occasional
12355.0,203,1,488.21000000000004,2,At-Risk / Lost
12356.0,16,3,3560.3,3,Potential Loyalist
12357.0,24,2,12079.99,3,Potential Loyalist
12358.0,11,3,2719.01,3,Potential Loyalist
12359.0,61,6,2563.36,3,Potential Loyalist
12360.0,15,5,1590.83,3,Potential Loyalist
12361.0,98,3,321.35,2,At-Risk / Lost
12362.0,374,1,130.0,2,At-Risk / Lost
12366.0,269,1,500.24,2,At-Risk / Lost
12368.0,264,1,917.6999999999999,2,At-Risk / Lost
12369.0,49,3,1791.15,3,Potential Loyalist
12370.0,260,3,774.62,3,Potential Loyalist
12371.0,45,3,2179.42,3,Potential Loyalist
12373.0,260,2,763.0500000000001,2,At-Risk / Lost
12374.0,57,3,2246.29,3,Potential Loyalist
12376.0,25,2,503.15,1,New / Occasional
12377.0,17,2,1798.2,1,New / Occasional
12378.0,198,1,1407.7,2,At-Risk / Lost
12379.0,58,2,767.98,3,Potential Loyalist
12380.0,101,7,6951.49,3,Potential Loyalist
12385.0,15,1,1938.4,1,New / Occasional
12386.0,2,1,258.9,1,New / Occasional
12387.0,51,1,143.94,2,At-Risk / Lost
12388.0,81,2,1120.45,3,Potential Loyalist
12389.0,38,3,1433.33,3,Potential Loyalist
12391.0,100,5,2285.18,3,Potential Loyalist
12392.0,227,1,234.75000000000003,2,At-Risk / Lost
12393.0,18,2,816.85,1,New / Occasional
12395.0,7,4,2048.64,0,High-Value Loyal
12396.0,310,1,931.43,2,At-Risk / Lost
12399.0,21,3,853.65,1,New / Occasional
12400.0,50,1,205.25,2,At-Risk / Lost
12402.0,28,5,1031.3,3,Potential Loyalist
12403.0,157,1,591.6600000000001,2,At-Risk / Lost
12404.0,318,1,63.24,2,At-Risk / Lost
12406.0,35,3,2975.06,3,Potential Loyalist
12408.0,21,3,1452.22,3,Potential Loyalist
12409.0,56,4,12346.619999999999,3,Potential Loyalist
12410.0,138,1,320.38,2,At-Risk / Lost
12411.0,45,1,346.9,1,New / Occasional
12412.0,38,3,1370.05,3,Potential Loyalist
12413.0,38,1,241.35,1,New / Occasional
12414.0,99,3,390.0,2,At-Risk / Lost
12415.0,11,7,19543.84,0,High-Value Loyal
12416.0,292,1,202.56,2,At-Risk / Lost
12417.0,46,11,3148.31,0,High-Value Loyal
12418.0,49,3,1352.62,3,Potential Loyalist
12419.0,21,2,503.01,1,New / Occasional
12421.0,51,2,291.56,1,New / Occasional
12422.0,30,14,4428.24,0,High-Value Loyal
12423.0,23,2,763.08,1,New / Occasional
12424.0,58,2,1579.07,3,Potential Loyalist
12425.0,84,1,964.21,2,At-Risk / Lost
12426.0,298,1,762.48,2,At-Risk / Lost
12427.0,7,1,303.5,1,New / Occasional
12429.0,1,5,3735.51,0,High-Value Loyal
12431.0,9,13,4370.52,0,High-Value Loyal
12433.0,2,5,7205.39,0,High-Value Loyal
12434.0,17,1,297.29,1,New / Occasional
12435.0,32,4,6096.04,3,Potential Loyalist
12437.0,31,21,7731.99,0,High-Value Loyal
12439.0,318,2,1142.88,2,At-Risk / Lost
12440.0,98,2,859.2,3,Potential Loyalist
12441.0,2,1,173.55,1,New / Occasional
12443.0,368,1,485.31,2,At-Risk / Lost
12445.0,56,1,301.58000000000004,2,At-Risk / Lost
12449.0,46,2,768.6,1,New / Occasional
12450.0,35,3,490.32,1,New / Occasional
12451.0,99,3,3634.36,3,Potential Loyalist
12454.0,31,4,13151.44,0,High-Value Loyal
12455.0,81,4,3413.09,3,Potential Loyalist
12457.0,71,1,632.68,2,At-Risk / Lost
12458.0,63,2,830.09,3,Potential Loyalist
12459.0,241,1,454.36,2,At-Risk / Lost
12460.0,92,1,326.65,2,At-Risk / Lost
12466.0,318,1,56.73,2,At-Risk / Lost
12467.0,59,1,132.8,2,At-Risk / Lost
12468.0,162,3,2941.2,3,Potential Loyalist
12469.0,158,2,3070.54,3,Potential Loyalist
12470.0,325,1,211.95,2,At-Risk / Lost
12471.0,10,49,20129.54,0,High-Value Loyal
12472.0,5,13,11308.48,0,High-Value Loyal
12474.0,14,13,5048.66,0,High-Value Loyal
12475.0,45,1,426.26,1,New / Occasional
12476.0,32,12,7267.49,0,High-Value Loyal
12477.0,35,3,7056.63,3,Potential Loyalist
12480.0,35,3,2183.2200000000003,3,Potential Loyalist
12481.0,1,6,6765.07,0,High-Value Loyal
12482.0,212,29,23691.4,0,High-Value Loyal
12483.0,14,11,2612.2000000000003,0,High-Value Loyal
12484.0,119,6,1826.78,3,Potential Loyalist
12485.0,165,1,708.1,2,At-Risk / Lost
12486.0,67,1,1037.28,1,New / Occasional
12487.0,366,1,285.29999999999995,2,At-Risk / Lost
12490.0,14,11,4405.71,0,High-Value Loyal
12492.0,39,1,452.0,1,New / Occasional
12494.0,1,3,626.77,1,New / Occasional
12495.0,276,1,357.4,2,At-Risk / Lost
12496.0,256,2,45.34,2,At-Risk / Lost
12497.0,36,2,5205.400000000001,3,Potential Loyalist
12499.0,196,1,393.72,2,At-Risk / Lost
12500.0,71,8,1697.39,3,Potential Loyalist
12503.0,220,1,1126.0,2,At-Risk / Lost
12504.0,53,2,297.0,1,New / Occasional
12505.0,44,1,955.2,1,New / Occasional
12507.0,220,1,539.25,2,At-Risk / Lost
12510.0,95,7,4195.45,3,Potential Loyalist
12511.0,64,1,3084.02,3,Potential Loyalist
12514.0,277,1,580.08,2,At-Risk / Lost
12516.0,66,2,1336.56,3,Potential Loyalist
12519.0,112,1,385.7,2,At-Risk / Lost
12523.0,10,12,2562.58,0,High-Value Loyal
12524.0,24,9,6640.39,0,High-Value Loyal
12525.0,134,3,973.73,3,Potential Loyalist
12527.0,130,2,386.8,2,At-Risk / Lost
12529.0,164,1,316.48,2,At-Risk / Lost
12530.0,51,5,2096.98,3,Potential Loyalist
12531.0,322,1,1807.98,2,At-Risk / Lost
12533.0,263,2,1367.89,3,Potential Loyalist
12537.0,44,1,732.94,1,New / Occasional
12538.0,14,1,276.5,1,New / Occasional
12539.0,86,3,5646.400000000001,3,Potential Loyalist
12540.0,14,16,8854.25,0,High-Value Loyal
12542.0,120,2,481.88,2,At-Risk / Lost
12543.0,84,1,980.25,2,At-Risk / Lost
12547.0,136,1,175.78,2,At-Risk / Lost
12549.0,211,6,1575.68,3,Potential Loyalist
12553.0,21,2,916.47,1,New / Occasional
12554.0,84,1,468.5,2,At-Risk / Lost
12555.0,318,1,129.23,2,At-Risk / Lost
12557.0,7,4,6725.18,0,High-Value Loyal
12562.0,21,2,1185.18,1,New / Occasional
12563.0,44,1,249.24,1,New / Occasional
12567.0,3,7,4308.58,0,High-Value Loyal
12568.0,280,1,70.0,2,At-Risk / Lost
12570.0,318,1,77.52,2,At-Risk / Lost
12573.0,17,4,556.87,1,New / Occasional
